# =====
# CALSPEC spectrum, resampled to the wavelength grid of LRS slit
# Extra broadening: x2.25 (<7 microns); x2.25 (>=7 microns)
# =====
# Wavelength (um)	Flux (Jy)
# =====
10.9691000000	0.0069939758
10.9895000000	0.0069690836
11.0098000000	0.0069445295
11.0303000000	0.0069199525
11.0507000000	0.0068956528
11.0709000000	0.0068716714
11.0910000000	0.0068477961
11.1108000000	0.0068241552
11.1305000000	0.0068003122
11.1500000000	0.0067760428
11.1694000000	0.0067505815
11.1888000000	0.0067229697
11.2082000000	0.0066921990
11.2276000000	0.0066578609
11.2471000000	0.0066205045
11.2666000000	0.0065825571
11.2862000000	0.0065473560
11.3058000000	0.0065188065
11.3254000000	0.0064988074
11.3450000000	0.0064866527
11.3646000000	0.0064796441
11.3841000000	0.0064739053
11.4034000000	0.0064663540
11.4225000000	0.0064555408
11.4415000000	0.0064414518
11.4602000000	0.0064249469
11.4790000000	0.0064066576
11.4976000000	0.0063875778
11.5163000000	0.0063679234
11.5350000000	0.0063480910
11.5539000000	0.0063280348
11.5727000000	0.0063081528
11.5915000000	0.0062883651
11.6103000000	0.0062686809
11.6290000000	0.0062491896
11.6476000000	0.0062298811
11.6661000000	0.0062107365
11.6845000000	0.0061917418
11.7029000000	0.0061727965
11.7212000000	0.0061540114
11.7395000000	0.0061353016
11.7577000000	0.0061167959
11.7758000000	0.0060985062
11.7939000000	0.0060803300
11.8120000000	0.0060622590
11.8299000000	0.0060444674
11.8478000000	0.0060267324
11.8657000000	0.0060090443
11.8834000000	0.0059915980
11.9013000000	0.0059740087
11.9190000000	0.0059566890
11.9368000000	0.0059393608
11.9546000000	0.0059221325
11.9723000000	0.0059051075
11.9902000000	0.0058879919
12.0080000000	0.0058710601
12.0258000000	0.0058542033
12.0435000000	0.0058374958
12.0611000000	0.0058209187
12.0787000000	0.0058043610
12.0962000000	0.0057879106
12.1136000000	0.0057715657
12.1310000000	0.0057552369
12.1484000000	0.0057389266
12.1656000000	0.0057227927
12.1829000000	0.0057064691
12.2001000000	0.0056899488
12.2173000000	0.0056727917
12.2344000000	0.0056545545
12.2515000000	0.0056344350
12.2686000000	0.0056114887
12.2856000000	0.0055852366
12.3024000000	0.0055559296
12.3193000000	0.0055239205
12.3362000000	0.0054916257
12.3530000000	0.0054622425
12.3696000000	0.0054386724
12.3863000000	0.0054227116
12.4029000000	0.0054147685
12.4195000000	0.0054132617
12.4361000000	0.0054154521
12.4527000000	0.0054183209
12.4694000000	0.0054192461
12.4861000000	0.0054168106
12.5028000000	0.0054105789
12.5195000000	0.0054011973
12.5361000000	0.0053897183
12.5527000000	0.0053770725
12.5690000000	0.0053642293
12.5853000000	0.0053514168
12.6015000000	0.0053388756
12.6176000000	0.0053265758
12.6336000000	0.0053144103
12.6496000000	0.0053021807
12.6656000000	0.0052898136
12.6817000000	0.0052772138
12.6978000000	0.0052644789
12.7139000000	0.0052516556
12.7300000000	0.0052387896
12.7461000000	0.0052259161
12.7623000000	0.0052129839
12.7783000000	0.0052002466
12.7941000000	0.0051877087
12.8099000000	0.0051752073
12.8258000000	0.0051626613
12.8416000000	0.0051502205
12.8574000000	0.0051378036
12.8732000000	0.0051254139
12.8891000000	0.0051129795
12.9050000000	0.0051005905
12.9209000000	0.0050882532
12.9368000000	0.0050759729
12.9526000000	0.0050638288
12.9684000000	0.0050517483
12.9841000000	0.0050398098
12.9996000000	0.0050280903
13.0150000000	0.0050165120
13.0303000000	0.0050050746
13.0457000000	0.0049936223
13.0609000000	0.0049823708
13.0763000000	0.0049710175
13.0915000000	0.0049598519
13.1070000000	0.0049485116
13.1223000000	0.0049373630
13.1378000000	0.0049261150
