# =====
# CALSPEC spectrum, resampled to the wavelength grid of LRS slit
# Extra broadening: x2.25 (<7 microns); x2.25 (>=7 microns)
# =====
# Wavelength (um)	Flux (Jy)
# =====
10.9691000000	0.0044969844
10.9895000000	0.0044809260
11.0098000000	0.0044650965
11.0303000000	0.0044492383
11.0507000000	0.0044335295
11.0709000000	0.0044179861
11.0910000000	0.0044024611
11.1108000000	0.0043870232
11.1305000000	0.0043713571
11.1500000000	0.0043552670
11.1694000000	0.0043381721
11.1888000000	0.0043193663
11.2082000000	0.0042981389
11.2276000000	0.0042742892
11.2471000000	0.0042483791
11.2666000000	0.0042223753
11.2862000000	0.0041988480
11.3058000000	0.0041806449
11.3254000000	0.0041689177
11.3450000000	0.0041627981
11.3646000000	0.0041600053
11.3841000000	0.0041576352
11.4034000000	0.0041535617
11.4225000000	0.0041469496
11.4415000000	0.0041379536
11.4602000000	0.0041272650
11.4790000000	0.0041153926
11.4976000000	0.0041030272
11.5163000000	0.0040903210
11.5350000000	0.0040775208
11.5539000000	0.0040645781
11.5727000000	0.0040517357
11.5915000000	0.0040389359
11.6103000000	0.0040261838
11.6290000000	0.0040135444
11.6476000000	0.0040010202
11.6661000000	0.0039886102
11.6845000000	0.0039763141
11.7029000000	0.0039640686
11.7212000000	0.0039519400
11.7395000000	0.0039398615
11.7577000000	0.0039279037
11.7758000000	0.0039160664
11.7939000000	0.0039042839
11.8120000000	0.0038925595
11.8299000000	0.0038810188
11.8478000000	0.0038695280
11.8657000000	0.0038580868
11.8834000000	0.0038468190
11.9013000000	0.0038354677
11.9190000000	0.0038242892
11.9368000000	0.0038130932
11.9546000000	0.0038019428
11.9723000000	0.0037909036
11.9902000000	0.0037797872
12.0080000000	0.0037687774
12.0258000000	0.0037578120
12.0435000000	0.0037469478
12.0611000000	0.0037361804
12.0787000000	0.0037254424
12.0962000000	0.0037147897
12.1136000000	0.0037042111
12.1310000000	0.0036936313
12.1484000000	0.0036830286
12.1656000000	0.0036724851
12.1829000000	0.0036617437
12.2001000000	0.0036507752
12.2173000000	0.0036392535
12.2344000000	0.0036268281
12.2515000000	0.0036128971
12.2686000000	0.0035967627
12.2856000000	0.0035781166
12.3024000000	0.0035572407
12.3193000000	0.0035345841
12.3362000000	0.0035121081
12.3530000000	0.0034922999
12.3696000000	0.0034772767
12.3863000000	0.0034682477
12.4029000000	0.0034651291
12.4195000000	0.0034663922
12.4361000000	0.0034697707
12.4527000000	0.0034729647
12.4694000000	0.0034741976
12.4861000000	0.0034726482
12.5028000000	0.0034682062
12.5195000000	0.0034615233
12.5361000000	0.0034535017
12.5527000000	0.0034449208
